Date,Region_Name,Area_Code,Average_Price_SA
1995-01-01,Wales,W92000004,43031.70419
1995-01-01,England,E92000001,53535.97105
1995-01-01,East Midlands,E12000004,45837.90311
1995-01-01,North East,E12000001,42059.44387
1995-01-01,East of England,E12000006,57001.89716
1995-01-01,South East,E12000008,64526.21534
1995-01-01,South West,E12000009,54706.49857
1995-01-01,Yorkshire and The Humber,E12000003,44813.83391
1995-01-01,North West,E12000002,44244.25341
1995-01-01,West Midlands Region,E12000005,48839.42358
1995-01-01,London,E12000007,74007.77577
1995-01-01,England and Wales,K04000001,53009.58689
1995-02-01,Wales,W92000004,42817.07181
1995-02-01,England,E92000001,53811.21418
1995-02-01,Yorkshire and The Humber,E12000003,44648.96912
1995-02-01,North East,E12000001,42548.7114
1995-02-01,East Midlands,E12000004,46379.65782
1995-02-01,West Midlands Region,E12000005,49658.977
1995-02-01,East of England,E12000006,56964.46451
1995-02-01,South East,E12000008,64625.41598
1995-02-01,South West,E12000009,54621.38002
1995-02-01,North West,E12000002,44244.82715
1995-02-01,London,E12000007,73994.91017
1995-02-01,England and Wales,K04000001,52973.72072
1995-03-01,Wales,W92000004,42333.27727
1995-03-01,England,E92000001,53442.23473
1995-03-01,East of England,E12000006,56886.26503
1995-03-01,London,E12000007,74180.38616
1995-03-01,East Midlands,E12000004,45721.99691
1995-03-01,North East,E12000001,41928.08699
1995-03-01,South West,E12000009,54016.55481
1995-03-01,Yorkshire and The Humber,E12000003,45117.43329
1995-03-01,West Midlands Region,E12000005,49653.81096
1995-03-01,North West,E12000002,44549.17095
1995-03-01,South East,E12000008,64899.28466
1995-03-01,England and Wales,K04000001,52863.75897
1995-04-01,Wales,W92000004,41941.51204
1995-04-01,England,E92000001,53348.84176
1995-04-01,North East,E12000001,41439.12531
1995-04-01,London,E12000007,74199.12831
1995-04-01,Yorkshire and The Humber,E12000003,44831.23963
1995-04-01,East of England,E12000006,56689.49506
1995-04-01,East Midlands,E12000004,45440.10572
1995-04-01,West Midlands Region,E12000005,49493.1802
1995-04-01,South West,E12000009,54224.28023
1995-04-01,North West,E12000002,43797.30833
1995-04-01,South East,E12000008,64699.12535
1995-04-01,England and Wales,K04000001,52706.5356
1995-05-01,England,E92000001,53140.98223
1995-05-01,Wales,W92000004,42174.12502
1995-05-01,London,E12000007,74656.07287
1995-05-01,South West,E12000009,54235.20498
1995-05-01,North East,E12000001,41820.73797
1995-05-01,East Midlands,E12000004,45325.43506
1995-05-01,North West,E12000002,43431.49123
1995-05-01,West Midlands Region,E12000005,49691.08834
1995-05-01,East of England,E12000006,56286.37273
1995-05-01,Yorkshire and The Humber,E12000003,43858.01565
1995-05-01,South East,E12000008,64401.61902
1995-05-01,England and Wales,K04000001,52538.50479
1995-06-01,England,E92000001,53051.38089
1995-06-01,Wales,W92000004,42795.45696
1995-06-01,West Midlands Region,E12000005,49433.24516
1995-06-01,Yorkshire and The Humber,E12000003,44341.5268
1995-06-01,East of England,E12000006,55885.9944
1995-06-01,East Midlands,E12000004,45159.23231
1995-06-01,London,E12000007,74652.06254
1995-06-01,North West,E12000002,43394.66457
1995-06-01,North East,E12000001,40944.56991
1995-06-01,South East,E12000008,65029.30205
1995-06-01,South West,E12000009,53962.19533
1995-06-01,England and Wales,K04000001,52486.33371
1995-07-01,England,E92000001,52854.8427
1995-07-01,Wales,W92000004,42912.34981
1995-07-01,South West,E12000009,53478.34987
1995-07-01,East Midlands,E12000004,45017.74432
1995-07-01,West Midlands Region,E12000005,49058.86836
1995-07-01,East of England,E12000006,56107.60281
1995-07-01,North East,E12000001,41798.8983
1995-07-01,South East,E12000008,64215.0238
1995-07-01,London,E12000007,74224.53394
1995-07-01,North West,E12000002,43214.58603
1995-07-01,Yorkshire and The Humber,E12000003,44150.94245
1995-07-01,England and Wales,K04000001,52317.47379
1995-08-01,England,E92000001,52408.31115
1995-08-01,Wales,W92000004,42527.45914
1995-08-01,London,E12000007,74312.4429
1995-08-01,North East,E12000001,40405.31384
1995-08-01,East Midlands,E12000004,44766.47474
1995-08-01,North West,E12000002,43160.68398
1995-08-01,East of England,E12000006,55632.28935
1995-08-01,West Midlands Region,E12000005,48393.90677
1995-08-01,South East,E12000008,63540.36851
1995-08-01,Yorkshire and The Humber,E12000003,43842.97834
1995-08-01,South West,E12000009,53396.27234
1995-08-01,England and Wales,K04000001,51870.17444
1995-09-01,England,E92000001,52522.18051
1995-09-01,Wales,W92000004,42759.94157
1995-09-01,North East,E12000001,40807.22106
1995-09-01,East of England,E12000006,55489.68763
1995-09-01,North West,E12000002,43098.08588
1995-09-01,West Midlands Region,E12000005,48685.60951
1995-09-01,South East,E12000008,63654.44173
1995-09-01,London,E12000007,73771.87925
1995-09-01,South West,E12000009,53395.09802
1995-09-01,Yorkshire and The Humber,E12000003,43895.00573
1995-09-01,East Midlands,E12000004,44922.80794
1995-09-01,England and Wales,K04000001,51992.5991
1995-10-01,Wales,W92000004,42196.00797
1995-10-01,England,E92000001,52476.42096
1995-10-01,North East,E12000001,40941.82595
1995-10-01,Yorkshire and The Humber,E12000003,43848.88665
1995-10-01,East of England,E12000006,54966.1617
1995-10-01,West Midlands Region,E12000005,49175.02422
1995-10-01,London,E12000007,74304.38141
1995-10-01,North West,E12000002,42584.36421
1995-10-01,East Midlands,E12000004,44830.88344
1995-10-01,South East,E12000008,63624.34842
1995-10-01,South West,E12000009,53518.9798
1995-10-01,England and Wales,K04000001,51916.62286
1995-11-01,England,E92000001,52334.23484
1995-11-01,Wales,W92000004,42551.14281
1995-11-01,North East,E12000001,40970.32979
1995-11-01,North West,E12000002,42875.82265
1995-11-01,East Midlands,E12000004,44332.25323
1995-11-01,Yorkshire and The Humber,E12000003,43581.55839
1995-11-01,South East,E12000008,63999.0075
1995-11-01,East of England,E12000006,55614.43055
1995-11-01,West Midlands Region,E12000005,48164.13166
1995-11-01,London,E12000007,74487.64723
1995-11-01,South West,E12000009,53199.73502
1995-11-01,England and Wales,K04000001,51843.87522
1995-12-01,Wales,W92000004,41985.32923
1995-12-01,England,E92000001,52608.89937
1995-12-01,East of England,E12000006,55267.40461
1995-12-01,Yorkshire and The Humber,E12000003,43918.37727
1995-12-01,North East,E12000001,41360.52823
1995-12-01,East Midlands,E12000004,45134.93691
1995-12-01,West Midlands Region,E12000005,48689.90306
1995-12-01,South West,E12000009,53294.79574
1995-12-01,London,E12000007,75179.1856
1995-12-01,South East,E12000008,64165.21061
1995-12-01,North West,E12000002,42942.31974
1995-12-01,England and Wales,K04000001,52049.21272
1996-01-01,England,E92000001,52659.11726
1996-01-01,Wales,W92000004,42404.29444
1996-01-01,London,E12000007,74937.82287
1996-01-01,West Midlands Region,E12000005,48241.78115
1996-01-01,South East,E12000008,64574.8588
1996-01-01,North East,E12000001,40713.96555
1996-01-01,North West,E12000002,42871.34043
1996-01-01,South West,E12000009,53405.58228
